layer,target_variable,theory,pair_split,correlation,slope,intercept,rmse,sign_accuracy,mean_cfr,median_cfr,fraction_behavioral_effect_recovered,examples,evidence_level,claim
0,contextual_outcome_history,dual_history,mech_pair_test,,0.0,-0.006944444444444442,0.05103103630798288,0.8333333333333334,-260415.66666666666,1.0,,18,3,causally_relevant_information_localization
0,contextual_outcome_history,dual_history,mech_pair_train,,0.0,-0.006944444444444442,0.05103103630798288,0.8333333333333334,-260415.66666666666,1.0,,18,3,causally_relevant_information_localization
0,contextual_outcome_history,dual_history,mech_pair_validation,,0.0,-0.0069444444444444415,0.08838834764831845,0.5,-781249.0,-781249.0,,18,3,causally_relevant_information_localization
0,contextual_outcome_history,dual_history,mech_task_holdout,0.427644672533064,0.0686930549155315,-0.032149950895479194,0.6810435368643474,0.16666666666666666,-5.940273770344903,1.963852125363985e-08,0.0,18,3,causally_relevant_information_localization
0,contextual_outcome_history,latent_context,mech_pair_test,0.09224062387764045,0.019894413983382587,-0.02812728071047457,1.097211109993452,0.05555555555555555,-0.01843791980818153,1.1698410906646473e-08,0.0,18,3,causally_relevant_information_localization
0,contextual_outcome_history,latent_context,mech_pair_train,0.10023810348995103,0.0226079123285781,-0.03131431213468842,1.1079230706636962,0.05555555555555555,-0.01825898444391279,1.1698410906646473e-08,0.0,18,3,causally_relevant_information_localization
0,contextual_outcome_history,latent_context,mech_pair_validation,0.4029283720741646,0.155187953779134,-0.17335329154409126,1.099381429243955,0.2222222222222222,-0.0347407909999204,8.418975794288741e-09,0.0,18,3,causally_relevant_information_localization
0,contextual_outcome_history,latent_context,mech_task_holdout,0.43590395336150634,0.108494360619351,-0.08151576507860017,0.843831571939762,0.16666666666666666,-0.014722648137495544,1.2307144525713909e-08,0.0,18,3,causally_relevant_information_localization
0,contextual_outcome_history,outcome_history,mech_pair_test,,0.0,-0.006944444444444442,0.05103103630798288,0.8333333333333334,-260415.66666666666,1.0,,18,3,causally_relevant_information_localization
0,contextual_outcome_history,outcome_history,mech_pair_train,,0.0,-0.006944444444444442,0.05103103630798288,0.8333333333333334,-260415.66666666666,1.0,,18,3,causally_relevant_information_localization
0,contextual_outcome_history,outcome_history,mech_pair_validation,,0.0,-0.0069444444444444415,0.08838834764831845,0.5,-781249.0,-781249.0,,18,3,causally_relevant_information_localization
0,contextual_outcome_history,outcome_history,mech_task_holdout,0.4318575996330971,0.06917750857171444,-0.0332521706465469,0.6913993159334434,0.16666666666666666,-1.8896699981643748,1.9274847495864833e-08,0.0,18,3,causally_relevant_information_localization
0,outcome_history,dual_history,mech_pair_test,0.46663684485431284,0.11666268750617531,-0.1545365304938768,1.19373005463195,0.08333333333333333,-0.05754248680930594,5.832357707902247e-09,0.0,24,3,causally_relevant_information_localization
0,outcome_history,dual_history,mech_pair_train,-0.23611806797371923,-0.05750214858327811,0.06069295244647469,1.189593524969337,0.125,-0.00728242293199111,5.832357707902247e-09,0.0,24,3,causally_relevant_information_localization
0,outcome_history,dual_history,mech_pair_validation,0.05340625339472747,0.012372411979898221,0.00896344823701836,1.1221915736965409,0.22727272727272727,0.03861839530085601,1.2929977144526816e-08,0.0,22,3,causally_relevant_information_localization
0,outcome_history,dual_history,mech_task_holdout,-0.10225329865100417,-0.018093557551321148,0.010297353828371898,0.7081422981766667,0.16666666666666666,-3.8998649994824195,1.963852125363985e-08,0.0,18,3,causally_relevant_information_localization
0,outcome_history,latent_context,mech_pair_test,0.4586196985638884,0.10038833092074034,-0.14199386990341378,1.2616601688488072,0.08333333333333333,-0.05469717532427254,5.997638941046546e-09,0.0,24,3,causally_relevant_information_localization
0,outcome_history,latent_context,mech_pair_train,-0.11253427834216992,-0.02472103802848026,0.024392385514287,1.2447043379674292,0.125,-0.009568723188146278,6.332528723618225e-09,0.0,24,3,causally_relevant_information_localization
0,outcome_history,latent_context,mech_pair_validation,0.14612959794571165,0.0312471831793702,-0.012333757030215648,1.1353618808450732,0.22727272727272727,0.03682325624103502,1.1475677685890417e-08,0.0,22,3,causally_relevant_information_localization
0,outcome_history,latent_context,mech_task_holdout,-0.03883096197992566,-0.006370063589702338,0.0037255597942202814,0.7370666833507288,0.16666666666666666,0.010500802883919734,2.496680984176436e-08,0.0,18,3,causally_relevant_information_localization
0,outcome_history,outcome_history,mech_pair_test,0.4667912606682955,0.11843242484944802,-0.15615418345524112,1.189516958854105,0.08333333333333333,-0.057470504711474114,5.903684652253105e-09,0.0,24,3,causally_relevant_information_localization
