pair_id,contrast_id,task_family,response_mapping,neural_counterfactual_effect,contextual_prediction,raw_prediction,prediction_disagreement,raw_theory,artifact_id,mse_raw,mse_contextual,delta_mse_raw_minus_contextual
cf:contextual_outcome_history:mech-contextual_history-000151:continue_x,mech-contextual_history-000151,bandit,continue_x,0.875,1.3948831980474694,0.0,1.3948831980474694,dual_history,das_000_contextual_outcome_history_latent_context_L30_r8,0.765625,0.2702785396120643,0.4953464603879357
cf:contextual_outcome_history:mech-contextual_history-000151:continue_y,mech-contextual_history-000151,bandit,continue_y,1.0,1.3948831980474696,0.0,1.3948831980474696,dual_history,das_000_contextual_outcome_history_latent_context_L30_r8,1.0,0.15593274010019711,0.8440672598998029
cf:contextual_outcome_history:mech-contextual_history-000196:continue_x,mech-contextual_history-000196,bandit,continue_x,1.125,1.3948831980474692,0.0,1.3948831980474692,dual_history,das_000_contextual_outcome_history_latent_context_L30_r8,1.265625,0.07283694058832947,1.1927880594116704
cf:contextual_outcome_history:mech-contextual_history-000991:continue_x,mech-contextual_history-000991,bandit,continue_x,1.0,1.39488319804747,0.0,1.39488319804747,dual_history,das_000_contextual_outcome_history_latent_context_L30_r8,1.0,0.15593274010019748,0.8440672598998025
cf:contextual_outcome_history:mech-contextual_history-000991:continue_y,mech-contextual_history-000991,bandit,continue_y,1.0,1.3948831980474696,0.0,1.3948831980474696,dual_history,das_000_contextual_outcome_history_latent_context_L30_r8,1.0,0.15593274010019711,0.8440672598998029
cf:contextual_outcome_history:mech-contextual_history-001156:continue_y,mech-contextual_history-001156,bandit,continue_y,1.125,1.3948831980474692,0.0,1.3948831980474692,dual_history,das_000_contextual_outcome_history_latent_context_L30_r8,1.265625,0.07283694058832947,1.1927880594116704
cf:contextual_outcome_history:mech-contextual_history-000151:continue_x,mech-contextual_history-000151,bandit,continue_x,0.875,1.3948831980474694,0.0,1.3948831980474694,outcome_history,das_000_contextual_outcome_history_latent_context_L30_r8,0.765625,0.2702785396120643,0.4953464603879357
cf:contextual_outcome_history:mech-contextual_history-000151:continue_y,mech-contextual_history-000151,bandit,continue_y,1.0,1.3948831980474696,0.0,1.3948831980474696,outcome_history,das_000_contextual_outcome_history_latent_context_L30_r8,1.0,0.15593274010019711,0.8440672598998029
cf:contextual_outcome_history:mech-contextual_history-000196:continue_x,mech-contextual_history-000196,bandit,continue_x,1.125,1.3948831980474692,0.0,1.3948831980474692,outcome_history,das_000_contextual_outcome_history_latent_context_L30_r8,1.265625,0.07283694058832947,1.1927880594116704
cf:contextual_outcome_history:mech-contextual_history-000991:continue_x,mech-contextual_history-000991,bandit,continue_x,1.0,1.39488319804747,0.0,1.39488319804747,outcome_history,das_000_contextual_outcome_history_latent_context_L30_r8,1.0,0.15593274010019748,0.8440672598998025
cf:contextual_outcome_history:mech-contextual_history-000991:continue_y,mech-contextual_history-000991,bandit,continue_y,1.0,1.3948831980474696,0.0,1.3948831980474696,outcome_history,das_000_contextual_outcome_history_latent_context_L30_r8,1.0,0.15593274010019711,0.8440672598998029
cf:contextual_outcome_history:mech-contextual_history-001156:continue_y,mech-contextual_history-001156,bandit,continue_y,1.125,1.3948831980474692,0.0,1.3948831980474692,outcome_history,das_000_contextual_outcome_history_latent_context_L30_r8,1.265625,0.07283694058832947,1.1927880594116704
cf:contextual_outcome_history:mech-contextual_history-000151:continue_x,mech-contextual_history-000151,bandit,continue_x,0.5,1.3948831980474694,0.0,1.3948831980474694,dual_history,das_001_outcome_history_dual_history_L28_r2,0.25,0.8008159381476664,-0.5508159381476664
cf:contextual_outcome_history:mech-contextual_history-000151:continue_y,mech-contextual_history-000151,bandit,continue_y,0.375,1.3948831980474696,0.0,1.3948831980474696,dual_history,das_001_outcome_history_dual_history_L28_r2,0.140625,1.0401617376595342,-0.8995367376595342
cf:contextual_outcome_history:mech-contextual_history-000196:continue_x,mech-contextual_history-000196,bandit,continue_x,0.375,1.3948831980474692,0.0,1.3948831980474692,dual_history,das_001_outcome_history_dual_history_L28_r2,0.140625,1.0401617376595333,-0.8995367376595333
cf:contextual_outcome_history:mech-contextual_history-000991:continue_x,mech-contextual_history-000991,bandit,continue_x,0.5,1.39488319804747,0.0,1.39488319804747,dual_history,das_001_outcome_history_dual_history_L28_r2,0.25,0.8008159381476675,-0.5508159381476675
cf:contextual_outcome_history:mech-contextual_history-000991:continue_y,mech-contextual_history-000991,bandit,continue_y,0.375,1.3948831980474696,0.0,1.3948831980474696,dual_history,das_001_outcome_history_dual_history_L28_r2,0.140625,1.0401617376595342,-0.8995367376595342
cf:contextual_outcome_history:mech-contextual_history-001156:continue_y,mech-contextual_history-001156,bandit,continue_y,0.375,1.3948831980474692,0.0,1.3948831980474692,dual_history,das_001_outcome_history_dual_history_L28_r2,0.140625,1.0401617376595333,-0.8995367376595333
cf:contextual_outcome_history:mech-contextual_history-000151:continue_x,mech-contextual_history-000151,bandit,continue_x,0.5,1.3948831980474694,0.0,1.3948831980474694,outcome_history,das_001_outcome_history_dual_history_L28_r2,0.25,0.8008159381476664,-0.5508159381476664
cf:contextual_outcome_history:mech-contextual_history-000151:continue_y,mech-contextual_history-000151,bandit,continue_y,0.375,1.3948831980474696,0.0,1.3948831980474696,outcome_history,das_001_outcome_history_dual_history_L28_r2,0.140625,1.0401617376595342,-0.8995367376595342
cf:contextual_outcome_history:mech-contextual_history-000196:continue_x,mech-contextual_history-000196,bandit,continue_x,0.375,1.3948831980474692,0.0,1.3948831980474692,outcome_history,das_001_outcome_history_dual_history_L28_r2,0.140625,1.0401617376595333,-0.8995367376595333
cf:contextual_outcome_history:mech-contextual_history-000991:continue_x,mech-contextual_history-000991,bandit,continue_x,0.5,1.39488319804747,0.0,1.39488319804747,outcome_history,das_001_outcome_history_dual_history_L28_r2,0.25,0.8008159381476675,-0.5508159381476675
cf:contextual_outcome_history:mech-contextual_history-000991:continue_y,mech-contextual_history-000991,bandit,continue_y,0.375,1.3948831980474696,0.0,1.3948831980474696,outcome_history,das_001_outcome_history_dual_history_L28_r2,0.140625,1.0401617376595342,-0.8995367376595342
cf:contextual_outcome_history:mech-contextual_history-001156:continue_y,mech-contextual_history-001156,bandit,continue_y,0.375,1.3948831980474692,0.0,1.3948831980474692,outcome_history,das_001_outcome_history_dual_history_L28_r2,0.140625,1.0401617376595333,-0.8995367376595333
cf:contextual_outcome_history:mech-contextual_history-000151:continue_x,mech-contextual_history-000151,bandit,continue_x,0.5,1.3948831980474694,0.0,1.3948831980474694,dual_history,das_002_outcome_history_outcome_history_L30_r2,0.25,0.8008159381476664,-0.5508159381476664
cf:contextual_outcome_history:mech-contextual_history-000151:continue_y,mech-contextual_history-000151,bandit,continue_y,0.5,1.3948831980474696,0.0,1.3948831980474696,dual_history,das_002_outcome_history_outcome_history_L30_r2,0.25,0.8008159381476667,-0.5508159381476667
cf:contextual_outcome_history:mech-contextual_history-000196:continue_x,mech-contextual_history-000196,bandit,continue_x,0.5,1.3948831980474692,0.0,1.3948831980474692,dual_history,das_002_outcome_history_outcome_history_L30_r2,0.25,0.8008159381476659,-0.5508159381476659
