candidate_index,target_variable,theory,scope,layer,rank,pair_split,metric,estimate,ci_lower,ci_upper,bootstrap_valid,bootstrap_samples,confidence,resampling_unit,stratified_by
0,contextual_outcome_history,latent_context,shared,30,8,mech_pair_test,global_cfr,0.9301290076517662,0.9128865929224853,0.9529528189710011,2000,2000,0.95,contrast_id,task_family
0,contextual_outcome_history,latent_context,shared,30,8,mech_pair_test,correlation,0.30208446578576115,-0.020459659711894344,0.6713962588522951,2000,2000,0.95,contrast_id,task_family
0,contextual_outcome_history,latent_context,shared,30,8,mech_pair_test,slope,0.25891791816049325,-0.014606358038906449,0.58242835131808,2000,2000,0.95,contrast_id,task_family
0,contextual_outcome_history,latent_context,shared,30,8,mech_pair_test,intercept,0.6618137761526273,0.24141042454795963,1.0257826271424908,2000,2000,0.95,contrast_id,task_family
0,contextual_outcome_history,latent_context,shared,30,8,mech_pair_test,rmse,0.2881896354464604,0.22778121035832047,0.3295099206055661,2000,2000,0.95,contrast_id,task_family
0,contextual_outcome_history,latent_context,shared,30,8,mech_pair_test,sign_accuracy,1.0,1.0,1.0,2000,2000,0.95,contrast_id,task_family
0,contextual_outcome_history,latent_context,shared,30,8,mech_task_holdout,global_cfr,0.6725030824784228,0.43994454532349625,0.8411768709167714,2000,2000,0.95,contrast_id,task_family
0,contextual_outcome_history,latent_context,shared,30,8,mech_task_holdout,correlation,0.7877577599667992,0.5340231911914217,0.9247215861363114,2000,2000,0.95,contrast_id,task_family
0,contextual_outcome_history,latent_context,shared,30,8,mech_task_holdout,slope,1.5015828350571907,0.771930601778352,2.0712673527710668,2000,2000,0.95,contrast_id,task_family
0,contextual_outcome_history,latent_context,shared,30,8,mech_task_holdout,intercept,-0.7659729941761436,-1.2967144528697572,-0.03690493394396471,2000,2000,0.95,contrast_id,task_family
0,contextual_outcome_history,latent_context,shared,30,8,mech_task_holdout,rmse,0.4903116301858692,0.352168256279505,0.6197145456707719,2000,2000,0.95,contrast_id,task_family
0,contextual_outcome_history,latent_context,shared,30,8,mech_task_holdout,sign_accuracy,0.7777777777777778,0.6,1.0,2000,2000,0.95,contrast_id,task_family
1,outcome_history,dual_history,shared,28,2,mech_pair_test,global_cfr,0.9682648384627148,0.9425206582399418,0.9862676319448076,2000,2000,0.95,contrast_id,task_family
1,outcome_history,dual_history,shared,28,2,mech_pair_test,correlation,0.8564300106887597,0.7977900963119203,0.9312098951327903,2000,2000,0.95,contrast_id,task_family
1,outcome_history,dual_history,shared,28,2,mech_pair_test,slope,1.1770732454213224,0.8322771135445254,1.5546197898140832,2000,2000,0.95,contrast_id,task_family
1,outcome_history,dual_history,shared,28,2,mech_pair_test,intercept,-0.14587920665036713,-0.547723038779841,0.25448719636603545,2000,2000,0.95,contrast_id,task_family
1,outcome_history,dual_history,shared,28,2,mech_pair_test,rmse,0.21001714531231006,0.13949196856507615,0.2834938385593543,2000,2000,0.95,contrast_id,task_family
1,outcome_history,dual_history,shared,28,2,mech_pair_test,sign_accuracy,1.0,1.0,1.0,2000,2000,0.95,contrast_id,task_family
1,outcome_history,dual_history,shared,28,2,mech_task_holdout,global_cfr,0.8728057199204062,0.7720522187696506,0.9478847223464114,2000,2000,0.95,contrast_id,task_family
1,outcome_history,dual_history,shared,28,2,mech_task_holdout,correlation,0.8414109201074753,0.6174135875357886,0.9661835289762614,2000,2000,0.95,contrast_id,task_family
1,outcome_history,dual_history,shared,28,2,mech_task_holdout,slope,0.8446616750892032,0.44128170826323987,1.1366651218583128,2000,2000,0.95,contrast_id,task_family
1,outcome_history,dual_history,shared,28,2,mech_task_holdout,intercept,-0.0084892193496279,-0.23812552352245073,0.3371031856167041,2000,2000,0.95,contrast_id,task_family
1,outcome_history,dual_history,shared,28,2,mech_task_holdout,rmse,0.24971069384161768,0.15922125106903423,0.331005439883198,2000,2000,0.95,contrast_id,task_family
1,outcome_history,dual_history,shared,28,2,mech_task_holdout,sign_accuracy,0.7777777777777778,0.6111111111111112,0.9444444444444444,2000,2000,0.95,contrast_id,task_family
2,outcome_history,outcome_history,shared,30,2,mech_pair_test,global_cfr,0.9667386365148124,0.9343287376839995,0.9871730424503974,2000,2000,0.95,contrast_id,task_family
2,outcome_history,outcome_history,shared,30,2,mech_pair_test,correlation,0.8764929935909971,0.8234263502848445,0.9404835722335714,2000,2000,0.95,contrast_id,task_family
2,outcome_history,outcome_history,shared,30,2,mech_pair_test,slope,1.2983131345595678,0.9282028467806138,1.6755350986894213,2000,2000,0.95,contrast_id,task_family
2,outcome_history,outcome_history,shared,30,2,mech_pair_test,intercept,-0.30116049870422834,-0.6901306383759347,0.10568350628473473,2000,2000,0.95,contrast_id,task_family
2,outcome_history,outcome_history,shared,30,2,mech_pair_test,rmse,0.21422128273086596,0.13372013388454146,0.29981075772142796,2000,2000,0.95,contrast_id,task_family
2,outcome_history,outcome_history,shared,30,2,mech_pair_test,sign_accuracy,1.0,1.0,1.0,2000,2000,0.95,contrast_id,task_family
2,outcome_history,outcome_history,shared,30,2,mech_task_holdout,global_cfr,0.8783020358507125,0.7634133837036995,0.9528131448011677,2000,2000,0.95,contrast_id,task_family
2,outcome_history,outcome_history,shared,30,2,mech_task_holdout,correlation,0.8005560011800481,0.5159286958586718,0.9513573646874272,2000,2000,0.95,contrast_id,task_family
2,outcome_history,outcome_history,shared,30,2,mech_task_holdout,slope,0.6056215494727503,0.26963317356252264,0.8369048295352378,2000,2000,0.95,contrast_id,task_family
2,outcome_history,outcome_history,shared,30,2,mech_task_holdout,intercept,0.1967057473940977,0.0011373522291889984,0.4993357690630435,2000,2000,0.95,contrast_id,task_family
2,outcome_history,outcome_history,shared,30,2,mech_task_holdout,rmse,0.247883011720039,0.15033963483912793,0.34909480467453413,2000,2000,0.95,contrast_id,task_family
2,outcome_history,outcome_history,shared,30,2,mech_task_holdout,sign_accuracy,0.8888888888888888,0.6842105263157895,1.0,2000,2000,0.95,contrast_id,task_family
